Date,Manufacturer,Subject,Recall Type,Potentially Affected
01/06/2023,Triple E Recreational Vehicles,Battery Disconnect Switch May Short,Vehicle,341
01/05/2023,"Volvo Car USA, LLC",Steering Wheel May Lock Up,Vehicle,74
12/29/2022,"Volkswagen Group of America, Inc.",12-Volt Battery Cable May Short Circuit,Vehicle,1042
12/29/2022,Indian Motorcycle Company,Kickstand May Not Retract Properly/FMVSS 123,Vehicle,4653
12/29/2022,Hendrickson USA. L.L.C.,Loose Brake Pad Retaining Clip May Damage Tire,Equipment,12
12/23/2022,Lion Electric Company,Adjusting Ring Fasteners Not Tightened Properly,Vehicle,13
12/23/2022,"WARN Industries, Inc.",Corrosion on Remote Control Circuit Board,Equipment,121187
12/23/2022,"Mercedes-Benz USA, LLC",Engine Stall from Water Intrusion into Vehicle,Vehicle,323963
12/23/2022,Ford Motor Company,Seat Belt Warning System Malfunction/FMVSS 208,Vehicle,101001
12/23/2022,"Mercedes-Benz USA, LLC",Sunroof Panel May Detach,Vehicle,123696
12/22/2022,"Shadow Trailer, LLC",Damaged Cooktop Control Valves May Leak Gas,Vehicle,12
12/22/2022,Honda (American Honda Motor Co.),Damaged Tire Bead,Vehicle,19
12/22/2022,"Chrysler (FCA US, LLC)",Incorrect Rearview Camera/FMVSS 111,Vehicle,38
12/22/2022,"Kibbi, LLC",Propane Leak Can Cause a Fire,Vehicle,292
12/22/2022,REV Recreation Group,Propane Leak May Cause Fire,Vehicle,1540
12/21/2022,"Volkswagen Group of America, Inc.",Driver's Side Air Bag Inflator May Explode,Vehicle,37558
12/20/2022,"BMW of North America, LLC",High Voltage Battery ECU May Interrupt Power,Vehicle,14086
12/20/2022,"New Flyer of America, Inc.",Upper Steering Shaft Connection May Loosen,Vehicle,746
12/19/2022,"BMW of North America, LLC",Driver's Seat Backrest Missing a Bolt,Vehicle,4
12/16/2022,"Mercedes-Benz USA, LLC",Center Console May Open in a Crash/FMVSS 201,Vehicle,11
12/16/2022,Hyundai Motor America,Coolant Leak in EPCU May Cause Loss of Drive Power,Vehicle,853
12/16/2022,Lightning eMotors Inc.,High Voltage Battery Packs May Fail,Vehicle,27
12/16/2022,"Mercedes-Benz USA, LLC",Insufficiently Attached Dashboard,Vehicle,1
12/16/2022,"Mercedes-Benz USA, LLC",Loss of Steering Control,Vehicle,69
12/16/2022,PACCAR Incorporated,Mirror May Detach and Become Road Hazard,Vehicle,2565
12/16/2022,"Mercedes-Benz USA, LLC",Rear Axle Differential Housing May Crack and Break,Vehicle,278
12/16/2022,PACCAR Incorporated,Suspension Tracking Rod Brackets May Fail,Vehicle,15658
12/15/2022,"Airstream, Inc.",Entry Door Window May Detach,Vehicle,1992
12/15/2022,"General Motors, LLC",Fire Risk after Seat Belt Pretensioner Deployment,Vehicle,111242
12/15/2022,Ridewell Corporation,Loose Brake Pad Retaining Clip May Damage Tire,Equipment,186
12/15/2022,"Airstream, Inc.",Overhead Galley Cabinet May Detach,Vehicle,200
12/15/2022,"General Motors, LLC",Passenger Air Bag May Deploy with Child in Seat,Vehicle,9
12/15/2022,Yokohama Tire Corporation,Tire Tread May Separate/FMVSS 119,Tire,6125
12/15/2022,"Jayco, Inc.",Windshield Wipers May Fail,Vehicle,37
12/14/2022,"General Motors, LLC",Front Impact Bar Not Welded Properly,Vehicle,2108
12/14/2022,Ford Motor Company,Fuel Tank Paint May Peel and Result in a Fuel Leak,Vehicle,11074
12/14/2022,"Polestar Automotive USA, Inc.",High-Voltage Battery May Overheat,Vehicle,66
12/14/2022,Ford Motor Company,Improperly Secured Side Impact Sensors,Vehicle,1226
12/14/2022,"Volkswagen Group of America, Inc.",Loose Retaining Ring May Cause Dislodged Air Strut,Vehicle,96
